,Title,Date,Time,Score,Comments
104,Elephants pass intelligence test with profound implications for our understanding of the species,12-04-2017,19:41:36,3868,335
105,Justin Trudeau to launch plans to legalise marijuana across Canada,12-04-2017,21:14:48,2613,260
106,Texas student commits suicide after Title IX kangaroo court,13-04-2017,09:13:25,275,88
107,Governor Doug Ducey signed into law on Wednesday sweeping reforms that will make it tougher for law enforcement agencies to seize cash and property in investigations.,13-04-2017,04:25:30,656,12
108,"Germanys Schaeuble says if Muslim migrants dont like Europe, go elsewhere",13-04-2017,13:02:46,115,77
109,"Delta Airlines gives family $14,600 for being bumped off short flight",13-04-2017,07:51:01,234,74
110,Ukraine ledger reveals $1.2 million in off-the-books payments to ex-Trump aide Paul Manafort,12-04-2017,13:26:48,11956,1233
111,Satellite photos show North Korean nuclear site primed and ready,13-04-2017,11:37:42,86,35
112,"After transgender bathroom battle, North Carolina looks to ban same-sex marriage",13-04-2017,05:00:39,278,84
113,British man charged after US gamer is shot by Swat police following hoax terrorism call,12-04-2017,11:24:14,24200,4756
114,Hundreds protest at Russian Embassy over gay concentration camps in Chechnya,13-04-2017,00:17:42,645,71
115,13 year old accidentally kills himself live on Instagram,13-04-2017,06:51:09,175,184
116,Sacramento police officer suspended after video shows him punching jaywalking suspect,12-04-2017,18:29:11,1375,259
117,Netflix will invest billions to shoot its original content in California,12-04-2017,19:34:48,1087,199
118,China tells military to be ready to move to North Korea border,12-04-2017,22:36:29,601,323
119,EPA: US Steel leaks chemical into Lake Michigan tributary,12-04-2017,20:10:14,762,99
120,Black Lives Matter release video of police dragging man from his car and kicking him in the face,13-04-2017,15:58:02,16,25
121,Man placed barbed wire across cycle path in revenge plot after a rider kicked his dog,13-04-2017,01:25:10,244,99
122,Uber reportedly used Hell program to stalk Lyft drivers - CNET,13-04-2017,08:27:59,66,5
123,"Muslim men permitted to hit wives in a soft and symbolic way, Hizb ut-Tahrir Australia women say",13-04-2017,09:48:05,50,46
124,Bill filed to ban marijuana purchases with EBT cards,13-04-2017,15:52:39,14,12
125,"North Korean leader Kim Jong-un recently ordered the deportation of nearly 600,000 Pyongyang residents to the suburbs",13-04-2017,08:31:35,51,6
126,"Toby Smith, Founding Member/ex-Keyboardist of Jamiroquai, Dead at 46",13-04-2017,09:08:03,46,0
127,Oregon lawmakers vote to shield marijuana users info from feds,12-04-2017,09:10:29,3614,227
128,Foreign journalists in North Korea told to prepare for big event,12-04-2017,21:43:40,313,149
129,Teslas Musk tells disgruntled shareholders: Buy Ford,13-04-2017,09:16:14,37,14
130,"A disbarred Pennsylvania attorney has been charged with stealing nearly $147,000 from special needs clients whose money he was supposed to manage.",12-04-2017,19:16:43,451,34
131,North Korea May Be Preparing Its 6th Nuclear Test,13-04-2017,09:05:19,35,12
132,"Bitcoin value rises over $1 billion as Japan, Russia move to legitimize cryptocurrency",12-04-2017,16:52:18,634,231
133,NYPD reportedly defies sanctuary city status after alerting ICE on illegal immigrants court dates,13-04-2017,16:17:40,10,3
134,Huddersfield child sex inquiry sees 29 in court - BBC News,13-04-2017,16:07:53,8,3
135,Dallas Passes Cite and Release for Small Amounts of Pot,13-04-2017,01:39:29,108,13
136,"Mans body, seen tossed from plane, found on roof of Mexican hospital",13-04-2017,01:19:32,107,27
137,United passenger threatened with handcuffs to make room for higher-priority traveler,12-04-2017,02:29:44,33211,3578
138,Boys accused of sexual assault of Twin Falls 5-year-old plead guilty,13-04-2017,11:29:10,18,11
139,California motorcyclist decapitated in freak accident,13-04-2017,09:26:27,21,20
140,Mom of 4 U.S.-born children to be deported after appeals court blocks stay,12-04-2017,17:26:39,425,1176
141,Bill would pull NC colleges out of ACC if state is boycotted again,13-04-2017,01:47:18,80,34
142,"Law enforcement officers may be illegally selling guns, ATF says",13-04-2017,15:51:37,6,2
143,A Capitol Hill man from whom federal agents said they seized thousands of dollars of counterfeit DVD box sets of The West Wing pleaded guilty to a federal charge.,13-04-2017,15:51:19,6,0
144,A Rhode Island Mayor ask police to stop kids from playing pickup basketball on public parks.,13-04-2017,14:55:27,8,6
145,Charging Bull creator plans to fight NYC on Fearless Girl statue,12-04-2017,17:07:31,355,515
146,A USAF airman stabbed an American woman soldier at the Aviano air base in northern Italy,13-04-2017,10:16:18,16,3
147,Judge backs lawyers claim that D.A. in San Antonio threatened defense lawyers in her chambers,13-04-2017,04:39:39,42,3
148,DeVos Undoes Obama Student Loan Protections,12-04-2017,00:42:00,26848,4873
149,Alabama Megachurch Moves Closer to Getting Own Police Force,13-04-2017,06:47:44,28,7
150,"After 26 years on the lam, brother of famed Miami Cocaine Cowboy is arrested in Orlando",13-04-2017,14:55:41,6,2
151,Nations First Public Needle Vending Machine for Drug Users Debuts in Las Vegas,13-04-2017,08:23:28,22,10
152,"A Pennsylvania man who assumed the identity of a baby who died in Texas in 1972 was arrested on charges of Social Security fraud and aggravated identity theft after the childs aunt discovered the ruse through Ancestry.com, federal authorities said.",12-04-2017,23:06:58,105,23
153,Alabama ends death penalty by judicial override,12-04-2017,13:24:13,613,100
154,US Customs electronic device searches on international air passengers up 58%,13-04-2017,04:07:55,40,8
155,Teen denied double-lung transplant after smoking marijuana,12-04-2017,16:31:38,333,170
156,Apple has a secret team working on the holy grail for treating diabetes -,13-04-2017,03:14:46,46,24
157,Arkansas rushes to execute 7 inmates before lethal drug expires,13-04-2017,07:06:34,23,6
158,Hospital staff break rules to grant dying mans wish: some wine and a cigarette,12-04-2017,16:15:36,312,27
